Region,Country,Year,Series,Value,Footnotes,Source
48,Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2018,Domestic general government health expenditure (% of total government expenditure),7.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2019,Domestic general government health expenditure (% of total government expenditure),6.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2020,Domestic general government health expenditure (% of total government expenditure),6.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2005,Current health expenditure (% of GDP),2.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2010,Current health expenditure (% of GDP),2.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2015,Current health expenditure (% of GDP),2.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2018,Current health expenditure (% of GDP),2.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2019,Current health expenditure (% of GDP),2.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2020,Current health expenditure (% of GDP),2.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2018,Domestic general government health expenditure (% of total government expenditure),3.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2019,Domestic general government health expenditure (% of total government expenditure),3.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
50,Bangladesh,2020,Domestic general government health expenditure (% of total government expenditure),3.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2005,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2010,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2015,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2018,Current health expenditure (% of GDP),6.6,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2019,Current health expenditure (% of GDP),6.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2020,Current health expenditure (% of GDP),7.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),12.2,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2015,Domestic general government health expenditure (% of total government expenditure),9.1,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2018,Domestic general government health expenditure (% of total government expenditure),9.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
52,Barbados,2019,Domestic general government health expenditure (% of total government expenditure),10.6,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
